id;uuid;file_name;file_type;file_desc;collection_id
1;a25f4129-8c70-47d2-84ba-6c34c85851d3;Jo Jacobi Mangeti Bibliotheca chemica curiosa seu rerum ad alchemiam pertinenti.pdf;PDF;BCC entire collection in single PDF file;1
2;70768f65-7e97-4c7a-a745-3b062c3902aa;Atalanta fugiens hoc est emblemata nova de secretis naturae chymica accommodata.pdf;PDF;Atalanta fugiens hoc est emblemata nova de secretis naturae chymica accommodata;2
